Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_501.jpg;0;0;1;0;43.33897;95.55199;0.0002371974;358.6785;-4.638955E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_535.jpg;0;0;0;0;43.33897;95.55199;0.0002374957;358.6785;-4.333628E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_577.jpg;0;0;0;0;43.33897;95.55199;0.0002378669;358.6785;-3.801075E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_655.jpg;-4.816173;0;0;0;43.33897;95.55199;0.0002368885;357.9461;-1.163139E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_733.jpg;-9.547436;0;0;0;43.33897;95.55199;0.0002356749;355.9331;6.253446E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_776.jpg;-7.166347;0;0;0;43.33897;95.55199;0.0002347758;355.0731;8.363219E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_816.jpg;-4.648866;0;0;0;43.33897;95.55199;0.000234155;354.5152;8.870667E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_896.jpg;0;0;0;0;43.33897;95.55199;0.0002340887;354.2477;5.867048E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_18_976.jpg;0;0;0;0;43.33897;95.55199;0.0002342553;354.2477;2.550834E-06
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_19_016.jpg;0;0;0;0;43.33897;95.55199;0.000234459;354.2477;1.503249E-06
